A0  U+00A0  # NO-BREAK SPACE
A1  U+1E02  # LATIN CAPITAL LETTER B WITH DOT ABOVE
A2  U+1E03  # LATIN SMALL LETTER B WITH DOT ABOVE
A3  U+00A3  # POUND SIGN
A4  U+010A  # LATIN CAPITAL LETTER C WITH DOT ABOVE
A5  U+010B  # LATIN SMALL LETTER C WITH DOT ABOVE
A6  U+1E0A  # LATIN CAPITAL LETTER D WITH DOT ABOVE
A7  U+00A7  # SECTION SIGN
A8  U+1E80  # LATIN CAPITAL LETTER W WITH GRAVE
A9  U+00A9  # COPYRIGHT SIGN
AA  U+1E82  # LATIN CAPITAL LETTER W WITH ACUTE
AB  U+1E0B  # LATIN SMALL LETTER D WITH DOT ABOVE
AC  U+1EF2  # LATIN CAPITAL LETTER Y WITH GRAVE
AD  U+00AD  # SOFT HYPHEN
AE  U+00AE  # REGISTERED SIGN
AF  U+0178  # LATIN CAPITAL LETTER Y WITH DIAERESIS
B0  U+1E1E  # LATIN CAPITAL LETTER F WITH DOT ABOVE
B1  U+1E1F  # LATIN SMALL LETTER F WITH DOT ABOVE
B2  U+0120  # LATIN CAPITAL LETTER G WITH DOT ABOVE
B3  U+0121  # LATIN SMALL LETTER G WITH DOT ABOVE
B4  U+1E40  # LATIN CAPITAL LETTER M WITH DOT ABOVE
B5  U+1E41  # LATIN SMALL LETTER M WITH DOT ABOVE
B6  U+00B6  # PILCROW SIGN
B7  U+1E56  # LATIN CAPITAL LETTER P WITH DOT ABOVE
B8  U+1E81  # LATIN SMALL LETTER W WITH GRAVE
B9  U+1E57  # LATIN SMALL LETTER P WITH DOT ABOVE
BA  U+1E83  # LATIN SMALL LETTER W WITH ACUTE
BB  U+1E60  # LATIN CAPITAL LETTER S WITH DOT ABOVE
BC  U+1EF3  # LATIN SMALL LETTER Y WITH GRAVE
BD  U+1E84  # LATIN CAPITAL LETTER W WITH DIAERESIS
BE  U+1E85  # LATIN SMALL LETTER W WITH DIAERESIS
BF  U+1E61  # LATIN SMALL LETTER S WITH DOT ABOVE
C0  U+00C0  # LATIN CAPITAL LETTER A WITH GRAVE
C1  U+00C1  # LATIN CAPITAL LETTER A WITH ACUTE
C2  U+00C2  # LATIN CAPITAL LETTER A WITH CIRCUMFLEX
C3  U+00C3  # LATIN CAPITAL LETTER A WITH TILDE
C4  U+00C4  # LATIN CAPITAL LETTER A WITH DIAERESIS
C5  U+00C5  # LATIN CAPITAL LETTER A WITH RING ABOVE
C6  U+00C6  # LATIN CAPITAL LETTER AE
C7  U+00C7  # LATIN CAPITAL LETTER C WITH CEDILLA
C8  U+00C8  # LATIN CAPITAL LETTER E WITH GRAVE
C9  U+00C9  # LATIN CAPITAL LETTER E WITH ACUTE
CA  U+00CA  # LATIN CAPITAL LETTER E WITH CIRCUMFLEX
CB  U+00CB  # LATIN CAPITAL LETTER E WITH DIAERESIS
CC  U+00CC  # LATIN CAPITAL LETTER I WITH GRAVE
CD  U+00CD  # LATIN CAPITAL LETTER I WITH ACUTE
CE  U+00CE  # LATIN CAPITAL LETTER I WITH CIRCUMFLEX
CF  U+00CF  # LATIN CAPITAL LETTER I WITH DIAERESIS
D0  U+0174  # LATIN CAPITAL LETTER W WITH CIRCUMFLEX
D1  U+00D1  # LATIN CAPITAL LETTER N WITH TILDE
D2  U+00D2  # LATIN CAPITAL LETTER O WITH GRAVE
D3  U+00D3  # LATIN CAPITAL LETTER O WITH ACUTE
D4  U+00D4  # LATIN CAPITAL LETTER O WITH CIRCUMFLEX
D5  U+00D5  # LATIN CAPITAL LETTER O WITH TILDE
D6  U+00D6  # LATIN CAPITAL LETTER O WITH DIAERESIS
D7  U+1E6A  # LATIN CAPITAL LETTER T WITH DOT ABOVE
D8  U+00D8  # LATIN CAPITAL LETTER O WITH STROKE
D9  U+00D9  # LATIN CAPITAL LETTER U WITH GRAVE
DA  U+00DA  # LATIN CAPITAL LETTER U WITH ACUTE
DB  U+00DB  # LATIN CAPITAL LETTER U WITH CIRCUMFLEX
DC  U+00DC  # LATIN CAPITAL LETTER U WITH DIAERESIS
DD  U+00DD  # LATIN CAPITAL LETTER Y WITH ACUTE
DE  U+0176  # LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
DF  U+00DF  # LATIN SMALL LETTER SHARP S
E0  U+00E0  # LATIN SMALL LETTER A WITH GRAVE
E1  U+00E1  # LATIN SMALL LETTER A WITH ACUTE
E2  U+00E2  # LATIN SMALL LETTER A WITH CIRCUMFLEX
E3  U+00E3  # LATIN SMALL LETTER A WITH TILDE
E4  U+00E4  # LATIN SMALL LETTER A WITH DIAERESIS
E5  U+00E5  # LATIN SMALL LETTER A WITH RING ABOVE
E6  U+00E6  # LATIN SMALL LETTER AE
E7  U+00E7  # LATIN SMALL LETTER C WITH CEDILLA
E8  U+00E8  # LATIN SMALL LETTER E WITH GRAVE
E9  U+00E9  # LATIN SMALL LETTER E WITH ACUTE
EA  U+00EA  # LATIN SMALL LETTER E WITH CIRCUMFLEX
EB  U+00EB  # LATIN SMALL LETTER E WITH DIAERESIS
EC  U+00EC  # LATIN SMALL LETTER I WITH GRAVE
ED  U+00ED  # LATIN SMALL LETTER I WITH ACUTE
EE  U+00EE  # LATIN SMALL LETTER I WITH CIRCUMFLEX
EF  U+00EF  # LATIN SMALL LETTER I WITH DIAERESIS
F0  U+0175  # LATIN SMALL LETTER W WITH CIRCUMFLEX
F1  U+00F1  # LATIN SMALL LETTER N WITH TILDE
F2  U+00F2  # LATIN SMALL LETTER O WITH GRAVE
F3  U+00F3  # LATIN SMALL LETTER O WITH ACUTE
F4  U+00F4  # LATIN SMALL LETTER O WITH CIRCUMFLEX
F5  U+00F5  # LATIN SMALL LETTER O WITH TILDE
F6  U+00F6  # LATIN SMALL LETTER O WITH DIAERESIS
F7  U+1E6B  # LATIN SMALL LETTER T WITH DOT ABOVE
F8  U+00F8  # LATIN SMALL LETTER O WITH STROKE
F9  U+00F9  # LATIN SMALL LETTER U WITH GRAVE
FA  U+00FA  # LATIN SMALL LETTER U WITH ACUTE
FB  U+00FB  # LATIN SMALL LETTER U WITH CIRCUMFLEX
FC  U+00FC  # LATIN SMALL LETTER U WITH DIAERESIS
